year,month,total_attendances,total_attendances_t1,total_breaches,95%_targ,total_admissions,dtoc_a,dtoc_na,total_dtocs
2010-11,August,1719197,1138652,33184,0.980697965,425702,2559,2381,4940
2010-11,September,1715117,1150728,41151,0.976006885,424900,2647,2357,5004
2010-11,October,1753934,1163143,47414,0.972967056,436215,2513,2075,4588
2010-11,November,1604591,1111294.571,46436.42857,0.971060271,429099,2352,2057,4409
2010-11,December,1647823.857,1159203.857,89917.28571,0.945432708,452728.7143,1995,1866,3861
2010-11,January,1654907.429,1133880.571,72889.28571,0.955955672,442003.7143,2563,2034,4597
2010-11,February,1552421.143,1053707.143,46942.85714,0.969761519,401206.4286,2460,1944,4404
2010-11,March,1804268.286,1225222,59172.71429,0.967204038,446845.5714,2290,1880,4170
2011-12,April,1786995,1197212.714,57379.85714,0.967890309,419243.2857,2144,1766,3910
2011-12,May,1818889.714,1221687.429,54805.42857,0.969868746,427276.5714,2273,1783,4056
2011-12,June,1733715.571,1168467.857,51701.71429,0.970178664,413320.8571,2318,1819,4137
2011-12,July,1820074,1211065.857,44885.42857,0.975338679,425797.8571,2350,1878,4228
2011-12,August,1713031.714,1135801.429,45076.57143,0.973686085,410554.2857,2320,1824,4144
2011-12,September,1725818.143,1162142.857,55392.42857,0.96790367,410760.8571,2340,1825,4165
2011-12,October,1786459.714,1200707.857,62452.71429,0.965041073,435080.1429,2337,1813,4150
2011-12,November,1682309,1134959.429,59131.85714,0.964850775,424887,2402,1763,4165
2011-12,December,1659213.857,1141606.429,72832,0.956104513,441655.2857,2026,1591,3617
2011-12,January,1663771.429,1137915.571,73746.57143,0.955675058,436198.8571,2474,1620,4094
2011-12,February,1618804.571,1120423,85427.14286,0.947228255,420552.5714,2363,1644,4007
2011-12,March,1866205.857,1263082.286,66947,0.96412668,454396,2400,1628,4028
2012-13,April,1704962.286,1149633.714,64561,0.962133473,424128.8571,2355,1599,3954
2012-13,May,1868049.714,1251414.286,61520.71429,0.967066875,443877.4286,2311,1546,3857
2012-13,June,1826402,1222084.286,61439.28571,0.96636048,426005.7143,2556,1530,4086
2012-13,July,1868089.714,1248953.286,56433.57143,0.96979076,444955,2377,1654,4031
2012-13,August,1790535.286,1197383.857,54607,0.969502416,425172.5714,2405,1556,3961
2012-13,September,1729380.714,1178360.714,59110.14286,0.965820052,421778.4286,2492,1610,4102
2012-13,October,1763435.857,1214433.429,68868.42857,0.960946451,446302.7143,2530,1585,4115
2012-13,November,1685590.857,1167908,70014.28571,0.95846306,435309.5714,2383,1511,3894
2012-13,December,1725239,1202080.286,97186.57143,0.943667763,451180.7143,2040,1408,3448
2012-13,January,1638557,1149837.143,94561.42857,0.942289814,437210,2545,1643,4188
2012-13,February,1554636.143,1085332.714,94112.28571,0.939463465,404950.7143,2505,1502,4007
2012-13,March,1744089.143,1226196.429,120995,0.930625679,453638.2857,2518,1535,4053
2013-14,April,1711298.714,1199089.143,120121.7143,0.929806694,429244.7143,2538,1508,4046
2013-14,May,1826847,1229747.429,64823.28571,0.964516303,437698.1429,2599,1585,4184
2013-14,June,1774696.286,1191352.429,56340,0.968253723,423199.1429,2356,1532,3888
2013-14,July,1910700.143,1281699.857,65588.71429,0.965672942,443851.1429,2461,1500,3961
2013-14,August,1772195,1189671.429,68396.14286,0.961405972,426909,2556,1528,4084
2013-14,September,1694205,1156569.143,74543.71429,0.956000771,427778.5714,2729,1502,4231
2013-14,October,1750179.286,1199258.571,79250,0.954718925,449631.2857,2675,1472,4147
2013-14,November,1662255.429,1139112.143,70781.14286,0.957418612,441624.2857,2678,1522,4200
2013-14,December,1697979.857,1172011.143,84049.28571,0.950500422,462417.7143,2235,1414,3649
2013-14,January,1655543.143,1142283.571,83995.71429,0.949263953,457387.8571,2683,1538,4221
2013-14,February,1572713.143,1084743.714,89101.28571,0.943345494,420487.1429,2763,1513,4276
2013-14,March,1871512.143,1269436.143,85828.71429,0.954139376,467851.2857,2815,1512,4327
2014-15,April,1788718.714,1213065.857,88957.14286,0.950267674,448681.5714,2671,1536,4207
2014-15,May,1875838.714,1287333.143,102189.7143,0.945523187,466071,2898,1618,4516
2014-15,June,1849404.286,1265211.143,92863.71429,0.949787229,450817.2857,2869,1494,4363
2014-15,July,1897358.857,1302588.429,96272,0.949259994,463122.1429,3006,1606,4612
2014-15,August,1728430.286,1188146.714,88879.71429,0.948577785,441757.7143,3096,1608,4704
2014-15,September,1753436,1221781.571,99849.71429,0.943054828,446126,3291,1669,4960
2014-15,October,1773395.857,1250114.143,118978.1429,0.932909428,469268,3364,1566,4930
2014-15,November,1710729.143,1205519.286,119731.1429,0.930011631,464342,3380,1683,5063
2014-15,December,1709072,1241894.714,192155,0.887567639,484360.7143,2854,1621,4475
2014-15,January,1578910.571,1124040.429,153156.4286,0.902998668,463400.8571,3570,1651,5221
2014-15,February,1521978.571,1072451.571,132867.8571,0.912700573,424634.7143,3342,1600,4942
2014-15,March,1801773,1251324.857,141194,0.921636077,474940.7143,3215,1733,4948
2015-16,April,1747368.429,1206631.286,125799.2857,0.928006433,450253.4286,3012,1727,4739
2015-16,May,1827184.429,1254445.143,110284.4286,0.939642421,468415.5714,3242,1730,4972
2015-16,June,1811885,1249213,99324,0.945181951,458790,3311,1685,4996
2015-16,July,1855420,1271523,97475,0.947464725,473914,3160,1728,4888
2015-16,August,1758664,1215826,106475,0.939456883,455432,3368,1746,5114
2015-16,September,1736868,1221594,123111,0.929118966,464195,3476,1771,5247
2015-16,October,1775554,1261395,147554,0.916896923,479987,3430,1900,5330
2015-16,November,1710763,1236294,163472,0.904444976,475564,3657,1916,5573
2015-16,December,1699048,1232965,168604,0.900765605,487798,3155,1849,5004
2015-16,January,1690634.429,1250005,216286,0.872068144,484833,3839,1938,5777
2015-16,February,1641695,1218372,229081,0.860460682,462864,3809,1905,5714
2015-16,March,1821719,1350373,265834,0.854075189,494076,3718,1883,5601
2016-17,April,1681659,1214057,186122,0.889322389,460209,3960,1892,5852
2016-17,May,1869011,1353206,201329,0.892280463,493191,4077,1919,5996
2016-17,June,1773890,1282499,184912,0.895759038,480210,4155,1997,6152
2016-17,July,1877061,1353477,201973,0.892399341,490221,4277,2084,6361
2016-17,August,1758482,1254439,174419,0.900812746,470554,4351,2036,6387
2016-17,September,1769867,1277578,182597,0.896830101,475808,4632,2127,6759
2016-17,October,1782679,1317571,219137,0.877074336,492983,4561,2216,6777
2016-17,November,1686158,1258205,221713,0.86850995,489326,4441,2330,6771
2016-17,December,1675749,1277133,268818,0.839583374,497915,3929,2238,6167
2016-17,January,1613660,1237177,281612,0.825482444,492273,4781,2337,7118
2016-17,February,1519203,1127909,216416,0.857546358,447688,4567,2288,6855
2016-17,March,1814442,1309507,201392,0.889006097,509805,4421,2227,6648
